material_name;material_parent
Unbekannt;
Tierprodukt;Unbekannt
Hartmaterial;Tierprodukt
Schildpatt;Hartmaterial
Muschel;Hartmaterial
Elfenbein;Hartmaterial
Perlmutt;Hartmaterial
Perlen;Perlmutt
Leder;Tierprodukt
Pergament;Leder
Vellum;Pergament
Wachs;Tierprodukt
Tiertextil;Tierprodukt
Seide;Tiertextil
Wolle;Tiertextil
Mineral;Unbekannt
Kristall;Mineral
Bergkristall;Kristall
Jade;Kristall
Karneol;Kristall
Aragonit;Kristall
Stein;Mineral
Granit;Stein
Speckstein;Stein
Marmor;Stein
Kalkstein;Stein
Kalk;Kalkstein
Kreide;Kalkstein
Sandstein;Stein
Schiefer;Stein
Steinsplitter;Stein
Serpentin;Stein
Erdmaterial;Mineral
Ton;Erdmaterial
Keramik;Ton
Steingut;Keramik
Terrakotta;Keramik
Porzellan;Keramik
Biskuitporzellan;Porzellan
Eierschalenporzellan;Porzellan
Fayence;Keramik
Gips;Erdmaterial
Putz;Gips
Alabaster;Gips
Stuck;Gips
Stuckmarmor;Stuck
Glas;Unbekannt
Emaille;Glas
Rubinglas;Glas
Plexiglas;Glas
Acrylglas;Glas
Metall;Unbekannt
Reinmetall;Metall
Gold;Reinmetall
Silber;Reinmetall
Eisen;Reinmetall
Zinn;Reinmetall
Kupfer;Reinmetall
Blei;Reinmetall
Zink;Reinmetall
Legierung;Metall
Bronze;Legierung
Zinkbronze;Bronze
Stahl;Legierung
Messing;Legierung
Blech;Metall
Pflanzenmaterial;Unbekannt
Pflanzentextil;Pflanzenmaterial
Jute;Pflanzentextil
Leinen;Pflanzentextil
Leinwand;Leinen
Sackleinen;Leinen
Samt;Pflanzentextil
Baumwolle;Pflanzentextil
Molino;Baumwolle
Rupfen;Pflanzentextil
Papiermaterial;Pflanzenmaterial
Papier;Papiermaterial
Pergamentpapier;Papier
Fotopapier;Papier
Bütten;Papier
Pappe;Papier
Pappmaché;Papier
Karton;Pappe
Werkdruckpapier;Papier
Japanpapier;Papier
Velin;Papier
Harz;Pflanzenmaterial
Bernstein;Harz
Synthetikharz;Harz
Hartfaser;Pflanzenmaterial
Hartfaserplatte;Hartfaser
Unalit;Hartfaserplatte
Pavatex;Hartfaserplatte
Masonite;Hartfaser
Holz;Pflanzenmaterial
Platte;Holz
Panel;Platte
Tafel;Platte
Nadelholz;Holz
Kiefer;Nadelholz
Tanne;Nadelholz
Fichte;Nadelholz
Eibe;Nadelholz
Zeder;Nadelholz
Laubholz;Holz
Buchsbaum;Laubholz
Nussbaum;Laubholz
Kirschbaumholz;Laubholz
Ahornholz;Laubholz
Pappelholz;Laubholz
Lindenholz;Laubholz
Birke;Laubholz
Eichenholz;Laubholz
Mahagoni;Laubholz
